Customer,Store ID Customer,STORE_ID,STORE_NAME,Store Name TH,Province TH,Region TH,Active-Inactive
เพาเวอร์มอลล์,33KB,S00222,PM-NAKHONRATCHASIMA,เดอะมอลล์ โคราช,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,Active
เพาเวอร์มอลล์,15KB,S00349,PM:NGAMWONGWAN,เดอะมอลล์ งามวงศ์วาน,นนทบุรี,กรุงเทพฯและภาคกลาง,Active
เพาเวอร์มอลล์,14KB,S00370,PM:THAPRA,เดอะมอลล์ ท่าพระ,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
เพาเวอร์มอลล์,16KB,S00190,PM:BANGKAE,เดอะมอลล์ บางแค,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
เพาเวอร์มอลล์,17KB,S00066,PM:BANGKAPI,เดอะมอลล์ บางกะปิ,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
เพาเวอร์มอลล์,13KB,S00795,PM:RAMKAMHANG,เดอะมอลล์ รามคำแหง,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
เพาเวอร์มอลล์,30KB,S00327,PM:EMPORIUM,เอ็มโพเรียม,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
เพาเวอร์มอลล์,34KB,S00449,PM:SIAM_PARAGON,สยามพารากอน,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
